id,title,author,format,status,read,pct_complete,first_seen,last_seen,events,sources,note_file,deleted
understanding-genetics-dna-genes-and-their-real-world-ap,"Understanding Genetics: DNA, Genes, and Their Real-World Applications","David Sadava,The Great Courses",audiobook+ebook,uncertain,,,2016-04-25,,2,audible; kindle,,
americanah-chimamanda-ngozi-adichie,Americanah,Chimamanda Ngozi Adichie,audiobook+ebook,owned,,0,2016-03-25,,2,audible; kindle,,
how-to-win-friends-influence-people-dale-carnegie,How to Win Friends & Influence People,Dale Carnegie,audiobook+ebook,finished,yes,0,2016-02-17,,2,audible; kindle,,
yes-please-amy-poehler,Yes Please,Amy Poehler,audiobook+ebook,owned,,16,2016-01-22,,2,audible; kindle,,
modern-romance-aziz-ansari-eric-klinenberg,Modern Romance,"Aziz Ansari,Eric Klinenberg",audiobook+ebook,owned,,,2015-12-18,,2,audible; kindle,,
biology-the-science-of-life-stephen-nowicki-the-great-co,Biology: The Science of Life,"Stephen Nowicki,The Great Courses",audiobook+ebook,uncertain,,57,2015-11-19,,2,audible; kindle,,
spanish-verbs-quickstudy-academic,Spanish Verbs (Quickstudy: Academic),,print,owned,,,2015-11-13,,1,amazon-print,,
practice-makes-perfect-spanish-verb-tenses-premium-3rd-e,"Practice Makes Perfect Spanish Verb Tenses, Premium 3rd Edition (Practice Make",,print,owned,,,2015-11-13,,1,amazon-print,,
spanish-level-1-lessons-1-5-pimsleur,Spanish Level 1 Lessons 1-5,Pimsleur,audiobook+ebook,uncertain,,89,2015-10-18,,2,audible; kindle,,
zero-to-one-peter-thiel-blake-masters,Zero to One,"Peter Thiel,Blake Masters",audiobook+ebook,finished,yes,,2015-10-15,,2,audible; kindle,,
lonely-planet-rajasthan-delhi-agra-travel-guide,"Lonely Planet Rajasthan, Delhi & Agra (Travel Guide)",,print,owned,,,2015-08-31,,1,amazon-print,,
the-city-of-to-morrow-and-its-planning-dover-architectur,The City of To-morrow and Its Planning (Dover Architecture),,print,owned,,,2014-12-19,,1,amazon-print,,
gather-the-art-of-paleo-entertaining,"Gather, the Art of Paleo Entertaining",,ebook,owned,,,2014-11-25,,2,kindle; kindle-library,,
beyond-bacon-paleo-recipes-that-respect-the-whole-hog,Beyond Bacon: Paleo Recipes that Respect the Whole Hog,,ebook,owned,,,2014-11-25,,2,kindle; kindle-library,,
the-paleo-solution-the-original-human-diet,The Paleo Solution: The Original Human Diet,,ebook,owned,,,2014-11-25,,2,kindle; kindle-library,,
the-paleo-kitchen-finding-primal-joy-in-modern-cooking,The Paleo Kitchen: Finding Primal Joy in Modern Cooking,,ebook,owned,,,2014-11-25,,2,kindle; kindle-library,,
the-ancestral-table-traditional-recipes-for-a-paleo-life,The Ancestral Table: Traditional Recipes for a Paleo Lifestyle,,ebook,owned,,,2014-11-25,,2,kindle; kindle-library,,
javascript-and-jquery-interactive-front-end-web-developm,JavaScript and JQuery: Interactive Front-End Web Development,,print,owned,,,2014-07-18,,1,amazon-print,,
